arm,n,layer,prefix_rows,row_degree_min,rows_below_degree_2,row_degree_hist,variable_degree_min,variable_degree_max,rank,zero_rows,zero_columns,connected_components,largest_component_fraction,duplicate_projective_columns,base_pair_duplicates,support_triple_duplicates,m_cycle_rank,girth,girth_reason,row_degree_max,row_degree_sumsq,frozen_eligible,i1_pass,new_eligible,determinism_replay,build_wall_s
M1_ACCUMULATOR_FOREST_MAX,256,L1,256,1,59,"{""1"": 59, ""2"": 77, ""3"": 120}",2,3,256,0,0,1,1.0,0,0,0,0,6,,3,1447,True,False,False,True,0.01
M1_ACCUMULATOR_FOREST_MAX,256,L2,172,2,0,"{""2"": 4, ""3"": 168}",2,2,172,0,0,1,1.0,0,0,0,0,6,,3,1528,True,True,True,True,0.01
M1_ACCUMULATOR_FOREST_MAX,256,L2,208,1,35,"{""1"": 35, ""2"": 5, ""3"": 168}",2,3,208,0,0,1,1.0,0,0,0,0,6,,3,1567,True,False,False,True,0.01
M1_ACCUMULATOR_FOREST_MAX,256,L2,256,1,83,"{""1"": 83, ""2"": 5, ""3"": 168}",2,3,256,0,0,1,1.0,0,0,0,0,6,,3,1615,True,False,False,True,0.01
M2_ACCUMULATOR_FOREST_HALF,64,L1,49,2,0,"{""2"": 9, ""3"": 40}",2,3,48,0,0,2,0.921875,0,0,0,0,4,,3,396,False,True,False,True,0.0
M2_ACCUMULATOR_FOREST_HALF,64,L1,59,2,0,"{""2"": 19, ""3"": 40}",2,3,58,0,0,2,0.921875,0,0,0,0,4,,3,436,False,True,False,True,0.0
M2_ACCUMULATOR_FOREST_HALF,64,L1,64,2,0,"{""2"": 24, ""3"": 40}",2,3,63,0,0,1,1.0,0,0,0,0,4,,3,456,False,True,False,True,0.0
M2_ACCUMULATOR_FOREST_HALF,64,L2,43,3,0,"{""3"": 37, ""4"": 6}",2,3,43,0,0,1,1.0,0,0,0,0,4,,4,429,True,True,True,True,0.0
M2_ACCUMULATOR_FOREST_HALF,64,L2,52,2,0,"{""2"": 9, ""3"": 37, ""4"": 6}",2,3,50,0,0,1,1.0,0,0,0,0,4,,4,465,False,True,False,True,0.0
M2_ACCUMULATOR_FOREST_HALF,64,L2,64,1,6,"{""1"": 6, ""2"": 15, ""3"": 37, ""4"": 6}",2,3,61,0,0,1,1.0,0,0,0,0,4,,4,495,False,False,False,True,0.0
M2_ACCUMULATOR_FOREST_HALF,128,L1,98,2,0,"{""2"": 18, ""3"": 80}",2,3,96,0,0,4,0.6328125,0,2,0,0,4,,3,792,False,True,False,True,0.01
M2_ACCUMULATOR_FOREST_HALF,128,L1,118,2,0,"{""2"": 38, ""3"": 80}",2,3,116,0,0,2,0.9609375,0,2,0,0,4,,3,872,False,True,False,True,0.01
