call_idx,identity_idx,schedule,f,seed,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,check_node_updates,check_edge_updates,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label
76,38,FLOODING,1.0,2026091309,L1_ORACLE_U2,L1,49,64,True,True,5,converged_exact,True,0,0,0.020087703996978234,105304064,245,735,0.9999999999987179,0.9191855770695543,0.44729038957629313,True,CHECK_UPDATED_CURRENT_BELIEF
77,39,ROW_LAYERED,1.0,2026091309,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,45,39,0.31130247099645203,105304064,3870,11610,0.5371320952144361,0.12150965394894381,4.275102782569837,True,CHECK_UPDATED_CURRENT_BELIEF
78,39,FLOODING,1.0,2026091309,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,45,39,0.30433441499917535,105304064,3870,11610,0.537132095214435,0.12150965394894357,4.275102782569839,True,CHECK_UPDATED_CURRENT_BELIEF
79,40,ROW_LAYERED,1.0,2026091309,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,12,6,0.31476850799663225,105304064,3870,11610,0.9999999999551621,0.7267974716279912,1.1937123762822142,True,CHECK_UPDATED_CURRENT_BELIEF
80,40,FLOODING,1.0,2026091309,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,12,6,0.3067822420052835,105304064,3870,11610,0.9999999999550309,0.7267690341029931,1.19397786190166,True,CHECK_UPDATED_CURRENT_BELIEF
81,41,ROW_LAYERED,1.0,2026091310,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,34,33,0.3552386250012205,105304064,4410,13230,0.9999604202354084,0.34132298521279847,3.1655830166389958,True,CHECK_UPDATED_CURRENT_BELIEF
82,41,FLOODING,1.0,2026091310,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,34,33,0.35234552399924723,105304064,4410,13230,0.999960420235408,0.34132298521267984,3.1655830166398404,True,CHECK_UPDATED_CURRENT_BELIEF
83,42,ROW_LAYERED,1.0,2026091310,L1_ORACLE_U2,L1,49,64,True,True,8,converged_exact,True,0,0,0.03101912599959178,105304064,392,1176,1.0,0.9647825901945146,0.17389009928674576,True,CHECK_UPDATED_CURRENT_BELIEF
84,42,FLOODING,1.0,2026091310,L1_ORACLE_U2,L1,49,64,True,True,24,converged_exact,True,0,0,0.09037562500452623,105304064,1176,3528,1.0,0.9821070636133977,0.08561561937871737,True,CHECK_UPDATED_CURRENT_BELIEF
85,43,ROW_LAYERED,1.0,2026091310,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,46,33,0.31124915899999905,105304064,3870,11610,0.5985932388965193,0.13058974290055275,3.975343436067555,True,CHECK_UPDATED_CURRENT_BELIEF
86,43,FLOODING,1.0,2026091310,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,46,33,0.30836556699796347,105304064,3870,11610,0.5985932388965206,0.13058974290055275,3.975343436067555,True,CHECK_UPDATED_CURRENT_BELIEF
87,44,ROW_LAYERED,1.0,2026091310,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,19,3,0.31193158099631546,105304064,3870,11610,0.9999999971396918,0.6645824136695151,0.8755715810124528,True,CHECK_UPDATED_CURRENT_BELIEF
88,44,FLOODING,1.0,2026091310,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,21,2,0.2996790919933119,105304064,3870,11610,0.9999999970050697,0.6488867086689416,0.8122583681084239,True,CHECK_UPDATED_CURRENT_BELIEF
89,45,ROW_LAYERED,1.0,2026091311,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,35,18,0.35587689399835654,105304064,4410,13230,0.9997589178527626,0.42217507647933483,2.254996044020982,True,CHECK_UPDATED_CURRENT_BELIEF
90,45,FLOODING,1.0,2026091311,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,35,18,0.35243021300266264,105304064,4410,13230,0.9997587003901472,0.4221720248765908,2.2551494279920252,True,CHECK_UPDATED_CURRENT_BELIEF
91,46,ROW_LAYERED,1.0,2026091311,L1_ORACLE_U2,L1,49,64,True,True,10,converged_exact,True,0,0,0.039756670004862826,105304064,490,1470,1.0,0.9999986327122614,2.5177327972934485e-05,True,CHECK_UPDATED_CURRENT_BELIEF
92,46,FLOODING,1.0,2026091311,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,16,4,0.34709351399942534,105304064,4410,13230,1.0,0.7485931061076734,0.1793135947555581,True,CHECK_UPDATED_CURRENT_BELIEF
93,47,ROW_LAYERED,1.0,2026091311,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,43,39,0.31047796700295294,105304064,3870,11610,0.5558352242222752,0.11864658564245203,4.205026395969939,True,CHECK_UPDATED_CURRENT_BELIEF
94,47,FLOODING,1.0,2026091311,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,43,39,0.3047070389948203,105304064,3870,11610,0.555835224222274,0.11864658564245205,4.205026395969938,True,CHECK_UPDATED_CURRENT_BELIEF
95,48,ROW_LAYERED,1.0,2026091311,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,9,6,0.3074490720027825,105304064,3870,11610,1.0,0.7505328259223134,1.1053285037838205,True,CHECK_UPDATED_CURRENT_BELIEF
96,48,FLOODING,1.0,2026091311,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,9,6,0.30950962800125126,105304064,3870,11610,1.0,0.7505098811669653,1.1054282149076335,True,CHECK_UPDATED_CURRENT_BELIEF
97,49,ROW_LAYERED,1.0,2026091312,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,42,0.35551829500036547,105304064,4410,13230,0.5568888703245005,0.13593296404761399,4.072114676635795,True,CHECK_UPDATED_CURRENT_BELIEF
98,49,FLOODING,1.0,2026091312,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,46,42,0.35249164299602853,105304064,4410,13230,0.5568888703245005,0.1359329640476138,4.072114676635798,True,CHECK_UPDATED_CURRENT_BELIEF
99,50,ROW_LAYERED,1.0,2026091312,L1_ORACLE_U2,L1,49,64,True,True,3,converged_exact,True,0,0,0.012050373006786685,105304064,147,441,0.9999999406300655,0.9414762839387452,0.27529567057160437,True,CHECK_UPDATED_CURRENT_BELIEF
100,50,FLOODING,1.0,2026091312,L1_ORACLE_U2,L1,49,64,True,True,6,converged_exact,True,0,0,0.023544479001429863,105304064,294,882,0.9999997827347836,0.9531927401281515,0.21524802528891213,True,CHECK_UPDATED_CURRENT_BELIEF
101,51,ROW_LAYERED,1.0,2026091312,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,43,28,0.30873260099906474,105304064,3870,11610,0.9809273979684963,0.19911950451337992,3.471866327736559,True,CHECK_UPDATED_CURRENT_BELIEF
102,51,FLOODING,1.0,2026091312,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,43,28,0.3092089869969641,105304064,3870,11610,0.9809273979684963,0.19911950451337987,3.471866327736559,True,CHECK_UPDATED_CURRENT_BELIEF
